# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.4048,2.6906,0.4713,0.5838
-2.4209,2.7663,0.4838,0.5713
-2.4367,2.8419,0.5088,0.6088
-2.4523,2.9177,0.5213,0.5838
-2.4675,2.9935,0.5338,0.6213
-2.4822,3.0694,0.4963,0.6088
-2.4964,3.1455,0.5088,0.5963
-2.5100,3.2216,0.5213,0.6213
-2.5229,3.2978,0.5338,0.6088
-2.5350,3.3742,0.5463,0.5963
-2.5462,3.4507,0.5588,0.6338
-2.5565,3.5274,0.5713,0.6213
-2.5657,3.6042,0.5713,0.6088
-2.5737,3.6811,0.5838,0.6088
-2.5804,3.7581,0.5838,0.6463
-2.5858,3.8353,0.5963,0.6463
-2.5897,3.9125,0.5963,0.6338
-2.5919,3.9898,0.5963,0.6338
-2.5925,4.0671,0.5963,0.6338
-2.5912,4.1445,0.6463,0.6338
-2.5879,4.2217,0.6463,0.6838
-2.5826,4.2989,0.6463,0.6963
-2.5751,4.3758,0.6838,0.7088
-2.5652,4.4525,0.7338,0.6713
-2.5529,4.5289,0.7213,0.6838
-2.5380,4.6048,0.7588,0.7088
-2.5205,4.6801,0.8088,0.7338
-2.5003,4.7547,0.8088,0.7088
-2.4773,4.8286,0.8338,0.6963
-2.4514,4.9014,0.8712,0.7338
-2.4226,4.9732,0.8588,0.7213
-2.3907,5.0436,0.8962,0.7713
-2.3557,5.1126,0.8838,0.7713
-2.3174,5.1797,0.9087,0.7963
-2.2757,5.2448,0.9087,0.8088
-2.2305,5.3076,0.8962,0.8463
-2.1818,5.3677,0.8962,0.8962
-2.1295,5.4246,0.9087,0.9587
-2.0736,5.4780,0.9212,0.9712
-2.0142,5.5275,0.9212,1.0212
-1.9515,5.5727,0.9337,1.0337
-1.8859,5.6136,0.9337,1.0088
-1.8178,5.6504,0.9337,0.9712
-1.7477,5.6830,0.9463,0.9587
-1.6759,5.7116,0.9212,0.9587
-1.6026,5.7363,0.9087,0.9212
-1.5282,5.7574,0.9212,0.9337
-1.4529,5.7750,0.9212,0.9587
-1.3769,5.7892,0.9337,0.9837
-1.3004,5.8002,0.9337,1.0088
-1.2234,5.8082,0.8838,0.9962
