# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m
10.19212,0.60114,-3.11323,-1.63077,-0.02899,0.75000,0.72500
10.27164,0.59628,-3.19261,-1.63312,-0.03010,0.75000,0.72500
10.35104,0.59124,-3.27185,-1.63555,-0.03123,0.80000,0.75000
10.43032,0.58601,-3.35095,-1.63807,-0.03238,0.77500,0.75000
10.50946,0.58058,-3.42991,-1.64068,-0.03355,0.77500,0.75000
10.58847,0.57496,-3.50872,-1.64338,-0.03474,0.77500,0.75000
10.66734,0.56913,-3.58737,-1.64617,-0.03595,0.82500,0.75000
10.74606,0.56309,-3.66586,-1.64905,-0.03718,0.82500,0.82500
10.82463,0.55684,-3.74418,-1.65202,-0.03843,0.80000,0.82500
10.90303,0.55036,-3.82232,-1.65508,-0.03971,0.80000,0.82500
10.98128,0.54365,-3.90027,-1.65824,-0.04101,0.85000,0.82500
11.05935,0.53670,-3.97804,-1.66149,-0.04233,0.85000,0.85000
11.13725,0.52952,-4.05561,-1.66484,-0.04368,0.82500,0.85000
11.21498,0.52209,-4.13297,-1.66829,-0.04505,0.82500,0.85000
11.29251,0.51440,-4.21013,-1.67179,-0.04242,0.82500,0.87500
11.36989,0.50649,-4.28710,-1.67461,-0.03060,0.85000,0.87500
11.44715,0.49840,-4.36393,-1.67652,-0.01861,0.85000,0.87500
11.52435,0.49021,-4.44070,-1.67749,-0.00652,0.85000,0.85000
11.60155,0.48199,-4.51746,-1.67752,0.00559,0.82500,0.85000
11.67880,0.47378,-4.59427,-1.67662,0.01764,0.82500,0.85000
11.75616,0.46568,-4.67121,-1.67480,0.02956,0.87500,0.87500
11.83369,0.45773,-4.74833,-1.67205,0.04126,0.85000,0.87500
11.91144,0.45001,-4.82569,-1.66839,0.05268,0.90000,0.85000
11.98947,0.44257,-4.90337,-1.66385,0.06375,0.90000,0.85000
12.06783,0.43550,-4.98141,-1.65843,0.07438,0.87500,0.85000
12.14659,0.42885,-5.05989,-1.65217,0.08453,0.92500,0.85000
12.22580,0.42268,-5.13886,-1.64512,0.08831,0.92500,0.85000
12.30549,0.41699,-5.21835,-1.63996,0.04144,0.92500,0.80000
12.38556,0.41154,-5.29823,-1.63847,-0.00409,0.90000,0.82500
12.46588,0.40605,-5.37837,-1.64060,-0.04892,0.95000,0.82500
12.54634,0.40023,-5.45861,-1.64634,-0.09369,0.95000,0.82500
12.62680,0.39381,-5.53881,-1.65569,-0.13898,0.95000,0.82500
12.70716,0.38650,-5.61884,-1.66872,-0.18533,1.00000,0.85000
12.78731,0.37802,-5.69854,-1.68548,-0.23323,1.02500,0.85000
12.86717,0.36809,-5.77778,-1.70608,-0.28305,1.02500,0.87500
12.94666,0.35643,-5.85641,-1.73063,-0.33507,1.07500,0.87500
13.02572,0.34276,-5.93428,-1.75925,-0.38941,1.05000,0.90000
13.10433,0.32680,-6.01126,-1.79207,-0.44591,1.10000,0.87500
13.18250,0.30827,-6.08719,-1.82866,-0.47739,1.10000,0.90000
13.26021,0.28705,-6.16195,-1.86603,-0.48461,1.12500,0.92500
13.33744,0.26319,-6.23540,-1.90379,-0.49335,1.12500,0.97500
13.41417,0.23674,-6.30743,-1.94203,-0.50365,1.10000,1.00000
13.49037,0.20772,-6.37789,-1.98085,-0.51559,1.15000,1.00000
13.56603,0.17620,-6.44667,-2.02037,-0.52918,1.15000,1.05000
13.64113,0.14222,-6.51364,-2.06067,-0.54447,1.17500,1.05000
13.71565,0.10581,-6.57867,-2.10187,-0.56146,1.17500,1.12500
13.78959,0.06703,-6.64162,-2.14407,-0.58012,1.15000,1.15000
13.86296,0.02592,-6.70239,-2.18737,-0.60040,1.17500,1.17500
13.93575,-0.01747,-6.76083,-2.23186,-0.62219,1.17500,1.20000
14.00798,-0.06310,-6.81682,-2.27763,-0.64533,1.17500,1.25000
14.07967,-0.11093,-6.87023,-2.32476,-0.66958,1.17500,1.22500
14.15087,-0.16090,-6.92094,-2.37333,-0.69463,1.17500,1.27500
14.22161,-0.21298,-6.96882,-2.42337,-0.72007,1.20000,1.30000
14.29196,-0.26712,-7.01374,-2.47492,-0.74538,1.20000,1.32500
14.36198,-0.32327,-7.05557,-2.52799,-0.76994,1.17500,1.27500
14.43177,-0.38139,-7.09419,-2.58254,-0.79304,1.17500,1.25000
14.50141,-0.44144,-7.12947,-2.63852,-0.81389,1.17500,1.22500
14.57102,-0.50336,-7.16128,-2.69582,-0.83165,1.17500,1.20000
14.64075,-0.56712,-7.18949,-2.75433,-0.84548,1.15000,1.20000
14.71072,-0.63267,-7.21398,-2.81384,-0.85458,1.15000,1.15000
14.78111,-0.69996,-7.23462,-2.87417,-0.85828,1.15000,1.15000
14.85208,-0.76896,-7.25129,-2.93505,-0.85605,1.17500,1.12500
14.92384,-0.83960,-7.26384,-2.99622,-0.84762,1.17500,1.15000
14.99657,-0.91186,-7.27217,-3.05738,-0.83296,1.15000,1.12500
