t,ms,ok,fails,limited,slack,s,n,xi,v,delta,d_cmd,v_plan,a_plan
1789772164.084,13.7,1,0,1,0.000,1.92,0.041,-0.070,1.94,0.017,0.017,3.14,7.00
1789772164.108,14.4,1,0,1,0.000,1.92,0.038,-0.068,1.90,0.016,0.019,3.10,7.00
1789772164.132,16.1,1,0,1,0.000,1.92,0.038,-0.068,1.90,0.016,0.017,3.09,7.00
1789772164.153,15.0,1,0,1,0.000,2.02,0.035,-0.059,1.90,0.017,0.018,3.10,7.00
1789772164.174,14.1,1,0,1,0.000,2.02,0.033,-0.057,1.91,0.019,0.017,3.11,7.00
1789772164.196,13.5,1,0,1,0.000,2.12,0.030,-0.054,1.91,0.017,0.019,3.10,7.00
1789772164.221,16.6,1,0,1,-0.000,2.22,0.026,-0.049,1.94,0.018,0.018,3.13,7.00
1789772164.242,15.0,1,0,1,0.000,2.22,0.024,-0.047,1.93,0.017,0.018,3.12,7.00
1789772164.263,13.8,1,0,1,0.000,2.22,0.024,-0.047,1.92,0.019,0.018,3.12,7.00
1789772164.286,15.2,1,0,1,-0.000,2.32,0.020,-0.042,1.91,0.018,0.016,3.11,7.00
1789772164.306,12.9,1,0,1,0.000,2.32,0.018,-0.040,1.92,0.018,0.016,3.12,7.00
1789772164.328,12.8,1,0,1,0.000,2.42,0.017,-0.037,1.92,0.018,0.015,3.11,7.00
1789772164.350,12.4,1,0,1,-0.000,2.42,0.015,-0.035,1.92,0.016,0.015,3.12,7.00
1789772164.372,12.8,1,0,1,-0.000,2.52,0.014,-0.033,1.94,0.016,0.014,3.13,7.00
1789772164.394,11.9,1,0,1,0.000,2.52,0.012,-0.032,1.94,0.015,0.014,3.14,7.00
1789772164.417,13.1,1,0,1,-0.000,2.52,0.011,-0.030,1.90,0.015,0.013,3.10,7.00
1789772164.440,13.3,1,0,1,-0.000,2.52,0.011,-0.030,1.89,0.014,0.013,3.08,7.00
1789772164.462,12.7,1,0,1,0.000,2.62,0.009,-0.026,1.89,0.014,0.012,3.09,7.00
1789772164.484,13.3,1,0,1,0.000,2.72,0.007,-0.024,1.90,0.013,0.011,3.09,7.00
1789772164.505,11.9,1,0,1,0.000,2.72,0.007,-0.023,1.90,0.013,0.011,3.09,7.00
1789772164.528,12.9,1,0,1,0.000,2.81,0.006,-0.021,1.95,0.012,0.010,3.14,7.00
1789772164.552,14.3,1,0,1,-0.000,2.81,0.005,-0.020,1.95,0.011,0.010,3.15,7.00
1789772164.571,11.4,1,0,1,0.000,2.91,0.004,-0.018,1.96,0.011,0.009,3.15,7.00
1789772164.595,12.6,1,0,1,-0.000,2.91,0.003,-0.017,1.96,0.010,0.009,3.15,7.00
1789772164.617,12.6,1,0,1,-0.000,2.91,0.002,-0.016,1.95,0.010,0.008,3.14,7.00
1789772164.642,15.4,1,0,1,-0.000,2.91,0.002,-0.016,1.94,0.009,0.008,3.14,7.00
1789772164.664,14.8,1,0,1,-0.000,3.01,0.001,-0.014,1.93,0.009,0.007,3.12,7.00
1789772164.683,11.4,1,0,1,0.000,3.11,0.000,-0.013,1.90,0.008,0.007,3.10,7.00
1789772164.705,12.3,1,0,1,0.000,3.11,-0.000,-0.011,1.92,0.008,0.007,3.11,7.00
1789772164.732,17.0,1,0,1,0.000,3.21,-0.001,-0.011,1.94,0.007,0.006,3.13,7.00
1789772164.750,13.0,1,0,1,-0.000,3.21,-0.001,-0.011,1.95,0.007,0.006,3.15,7.00
1789772164.777,16.9,1,0,1,-0.000,3.31,-0.001,-0.009,1.95,0.007,0.005,3.14,7.00
1789772164.798,16.0,1,0,1,-0.000,3.31,-0.001,-0.009,1.95,0.006,0.005,3.14,7.00
1789772164.820,15.4,1,0,1,-0.000,3.31,-0.002,-0.007,1.91,0.006,0.005,3.11,7.00
1789772164.844,17.3,1,0,1,-0.000,3.31,-0.002,-0.007,1.90,0.005,0.005,3.09,7.00
1789772164.865,15.8,1,0,1,0.000,3.41,-0.003,-0.006,1.92,0.005,0.004,3.11,7.00
1789772164.888,16.6,1,0,1,-0.000,3.51,-0.003,-0.005,1.92,0.005,0.004,3.12,7.00
1789772164.916,22.7,1,0,1,-0.000,3.51,-0.003,-0.005,1.93,0.005,0.004,3.13,7.00
1789772164.930,11.2,1,0,1,0.000,3.61,-0.003,-0.004,1.95,0.004,0.006,3.15,7.00
1789772164.951,13.5,1,0,1,-0.000,3.61,-0.003,-0.004,1.97,0.004,0.003,3.16,7.00
1789772164.974,14.6,1,0,1,0.000,3.61,-0.004,-0.003,1.95,0.004,0.003,3.14,7.00
1789772165.002,19.0,1,0,1,-0.000,3.71,-0.004,-0.002,1.94,0.006,0.003,3.13,7.00
1789772165.019,14.9,1,0,1,0.000,3.71,-0.004,-0.002,1.94,0.003,0.003,3.13,7.00
1789772165.038,11.6,1,0,1,0.000,3.81,-0.004,-0.002,1.93,0.003,0.002,3.13,7.00
1789772165.060,11.7,1,0,1,0.000,3.81,-0.004,-0.001,1.93,0.003,0.002,3.12,7.00
1789772165.083,11.6,1,0,1,0.000,3.81,-0.004,-0.001,1.93,0.003,0.002,3.12,7.00
1789772165.112,18.1,1,0,1,0.000,3.91,-0.004,-0.001,1.93,0.002,0.002,3.13,7.00
1789772165.131,15.3,1,0,1,0.000,4.01,-0.004,-0.000,1.99,0.002,0.004,3.18,7.00
1789772165.151,13.9,1,0,1,0.000,4.01,-0.004,-0.000,1.93,0.002,0.002,3.12,7.00
1789772165.176,16.4,1,0,1,0.000,4.01,-0.004,-0.000,1.91,0.002,0.001,3.11,7.00
1789772165.195,12.8,1,0,1,-0.000,4.11,-0.004,0.001,1.94,0.004,0.000,3.13,7.00
1789772165.218,13.7,1,0,1,0.000,4.11,-0.004,0.001,1.92,0.002,0.000,3.11,7.00
1789772165.237,10.1,1,0,1,0.000,4.21,-0.004,0.002,1.92,0.001,0.002,3.11,7.00
1789772165.265,15.9,1,0,1,-0.000,4.21,-0.004,0.002,1.95,0.000,0.000,3.14,7.00
1789772165.283,11.8,1,0,1,0.000,4.31,-0.004,0.002,1.96,0.000,0.000,3.15,7.00
1789772165.307,14.1,1,0,1,0.000,4.31,-0.004,0.002,1.96,0.002,0.000,3.15,7.00
1789772165.328,13.1,1,0,1,0.000,4.31,-0.004,0.002,1.95,0.000,0.000,3.14,7.00
1789772165.351,13.5,1,0,1,0.000,4.31,-0.004,0.002,1.95,0.000,0.000,3.14,7.00
1789772165.371,11.0,1,0,1,0.000,4.41,-0.003,0.002,1.94,0.000,-0.000,3.13,7.00
1789772165.398,10.8,1,0,1,0.000,4.41,-0.003,0.002,1.94,0.000,-0.000,3.13,7.00
1789772165.416,11.6,1,0,1,0.000,4.50,-0.003,0.003,1.92,0.000,-0.001,3.11,7.00
1789772165.438,11.6,1,0,1,0.000,4.50,-0.003,0.003,1.91,-0.000,-0.001,3.10,7.00
1789772165.462,13.5,1,0,1,0.000,4.60,-0.003,0.003,1.96,-0.000,-0.000,3.15,7.00
1789772165.481,10.4,1,0,1,0.000,4.70,-0.003,0.003,1.94,-0.001,0.002,3.13,7.00
1789772165.505,12.0,1,0,1,0.000,4.70,-0.003,0.003,1.94,-0.001,-0.000,3.13,7.00
1789772165.528,12.2,1,0,1,0.000,4.70,-0.003,0.003,1.93,-0.000,0.001,3.13,7.00
1789772165.549,11.9,1,0,1,0.000,4.80,-0.002,0.003,1.97,0.002,-0.001,3.16,7.00
1789772165.571,11.6,1,0,1,0.000,4.80,-0.002,0.003,1.94,-0.000,-0.001,3.13,7.00
1789772165.595,12.5,1,0,1,-0.000,4.90,-0.002,0.003,1.93,0.001,-0.001,3.13,7.00
1789772165.615,11.3,1,0,1,0.000,4.90,-0.002,0.003,1.94,-0.001,-0.001,3.13,7.00
1789772165.638,10.9,1,0,1,0.000,4.90,-0.002,0.003,1.94,-0.001,0.002,3.13,7.00
1789772165.662,13.6,1,0,1,0.000,5.00,-0.002,0.003,1.95,-0.001,-0.001,3.14,7.00
1789772165.681,10.0,1,0,1,0.000,5.00,-0.002,0.003,1.93,-0.001,0.001,3.12,7.00
1789772165.705,12.0,1,0,1,0.000,5.10,-0.001,0.003,1.95,0.002,-0.002,3.14,7.00
1789772165.731,15.8,1,0,1,0.000,5.10,-0.001,0.003,1.96,-0.001,-0.002,3.15,7.00
1789772165.752,14.4,1,0,1,-0.000,5.20,-0.001,0.004,1.94,0.001,-0.001,3.13,7.00
1789772165.774,14.0,1,0,1,0.000,5.20,-0.001,0.003,1.94,-0.002,-0.001,3.13,7.00
1789772165.795,12.0,1,0,1,0.000,5.20,-0.001,0.003,1.94,-0.002,0.002,3.14,7.00
1789772165.822,17.8,1,0,1,0.000,5.30,-0.001,0.003,1.92,-0.001,-0.000,3.12,7.00
1789772165.841,14.5,1,0,1,0.000,5.40,-0.000,0.003,1.92,-0.001,-0.002,3.12,7.00
1789772165.863,14.4,1,0,1,0.000,5.40,-0.000,0.004,1.95,0.002,-0.002,3.15,7.00
1789772165.885,14.4,1,0,1,0.000,5.40,-0.000,0.004,1.95,-0.000,-0.002,3.14,7.00
1789772165.908,14.3,1,0,1,0.000,5.50,-0.000,0.004,1.95,-0.002,0.002,3.14,7.00
1789772165.930,14.0,1,0,1,0.000,5.50,0.000,0.004,1.94,-0.002,-0.001,3.14,7.00
1789772165.952,14.1,1,0,1,0.000,5.60,0.000,0.004,1.95,-0.002,0.001,3.14,7.00
1789772165.974,14.5,1,0,1,0.000,5.60,0.000,0.004,1.95,0.002,-0.001,3.14,7.00
1789772165.996,13.5,1,0,1,0.000,5.70,0.001,0.004,1.94,-0.001,-0.001,3.13,7.00
1789772166.016,11.5,1,0,1,0.000,5.70,0.001,0.004,1.94,0.001,0.002,3.13,7.00
1789772166.040,12.9,1,0,1,0.000,5.70,0.001,0.004,1.95,-0.001,-0.001,3.14,7.00
1789772166.062,13.8,1,0,1,0.000,5.80,0.001,0.004,1.92,-0.001,-0.001,3.11,7.00
1789772166.085,14.4,1,0,1,0.000,5.80,0.001,0.004,1.92,0.002,-0.001,3.12,7.00
1789772166.107,13.8,1,0,1,0.000,5.90,0.001,0.004,1.94,-0.001,-0.001,3.13,7.00
1789772166.130,14.1,1,0,1,0.000,5.90,0.001,0.004,1.94,-0.001,-0.001,3.13,7.00
1789772166.151,13.6,1,0,1,0.000,6.00,0.002,0.004,1.93,-0.001,-0.000,3.13,7.00
1789772166.174,14.1,1,0,1,0.000,6.00,0.002,0.004,1.95,-0.001,0.000,3.14,7.00
1789772166.196,14.0,1,0,1,0.000,6.10,0.002,0.004,1.93,-0.001,0.000,3.13,7.00
1789772166.222,17.9,1,0,1,0.000,6.10,0.002,0.004,1.91,-0.000,0.000,3.11,7.00
1789772166.241,13.7,1,0,1,0.000,6.10,0.002,0.004,1.93,0.000,-0.000,3.13,7.00
1789772166.261,12.6,1,0,1,0.000,6.20,0.003,0.005,1.92,0.000,0.001,3.12,7.00
1789772166.285,13.8,1,0,1,0.000,6.20,0.003,0.005,1.93,0.000,0.001,3.12,7.00
1789772166.313,19.6,1,0,1,0.000,6.30,0.003,0.005,1.94,-0.000,0.005,3.14,7.00
1789772166.335,18.9,1,0,1,0.000,6.30,0.003,0.005,1.96,0.001,0.002,3.15,7.00
1789772166.351,13.6,1,0,1,0.000,6.40,0.004,0.003,1.93,0.001,0.003,3.13,7.00
1789772166.375,15.3,1,0,1,-0.000,6.40,0.004,0.003,1.96,0.005,0.002,3.15,7.00
1789772166.396,14.1,1,0,1,0.000,6.40,0.004,0.003,1.95,0.002,0.002,3.14,7.00
1789772166.418,13.5,1,0,1,0.000,6.50,0.004,0.001,1.93,0.003,0.003,3.13,7.00
1789772166.444,17.0,1,0,1,0.000,6.50,0.004,0.002,1.90,0.002,0.003,3.10,7.00
1789772166.464,15.3,1,0,1,0.000,6.60,0.004,-0.001,1.91,0.002,0.003,3.10,7.00
1789772166.485,14.5,1,0,1,0.000,6.60,0.004,-0.001,1.91,0.003,0.003,3.11,7.00
1789772166.507,14.2,1,0,1,0.000,6.69,0.004,-0.005,1.91,0.003,0.003,3.10,7.00
1789772166.528,12.9,1,0,1,0.000,6.69,0.003,-0.005,1.91,0.003,0.003,3.11,7.00
1789772166.549,12.1,1,0,1,0.000,6.79,0.003,-0.005,1.94,0.003,0.001,3.13,7.00
1789772166.571,11.3,1,0,1,0.000,6.79,0.003,-0.005,1.95,0.003,0.001,3.14,7.00
1789772166.594,11.6,1,0,1,0.000,6.79,0.003,-0.005,1.92,0.003,0.002,3.11,7.00
1789772166.622,17.6,1,0,1,-0.000,6.89,0.003,-0.005,1.93,0.001,0.001,3.12,7.00
1789772166.639,12.4,1,0,1,0.000,6.89,0.003,-0.005,1.93,0.001,0.001,3.12,7.00
1789772166.662,13.3,1,0,1,-0.000,6.99,0.002,-0.004,1.93,0.002,0.001,3.13,7.00
1789772166.684,13.1,1,0,1,0.000,6.99,0.002,-0.004,1.93,0.001,0.001,3.12,7.00
1789772166.706,13.1,1,0,1,-0.000,7.09,0.002,-0.003,1.93,0.001,0.001,3.12,7.00
1789772166.728,13.0,1,0,1,0.000,7.09,0.002,-0.003,1.93,0.001,0.001,3.12,7.00
1789772166.749,11.6,1,0,1,0.000,7.19,0.002,-0.003,1.95,0.001,0.001,3.14,7.00
1789772166.772,11.9,1,0,1,0.000,7.19,0.001,-0.003,1.95,0.001,0.001,3.14,7.00
1789772166.793,11.1,1,0,1,0.000,7.19,0.001,-0.003,1.94,0.001,0.001,3.13,7.00
1789772166.823,18.6,1,0,1,-0.000,7.29,0.001,-0.003,1.94,0.001,0.001,3.13,7.00
1789772166.845,19.0,1,0,1,-0.000,7.29,0.001,-0.003,1.92,0.001,0.001,3.11,7.00
1789772166.864,15.5,1,0,1,-0.000,7.39,0.001,-0.002,1.94,0.001,0.001,3.13,7.00
1789772166.890,19.3,1,0,1,0.000,7.39,0.001,-0.002,1.95,0.001,0.001,3.14,7.00
1789772166.915,22.0,1,0,1,0.000,7.39,0.001,-0.002,1.90,0.001,0.001,3.10,7.00
1789772166.930,13.0,1,0,1,0.000,7.39,0.001,-0.002,1.88,0.001,0.001,3.07,7.00
1789772166.950,12.5,1,0,1,0.000,7.49,0.001,-0.002,1.93,0.001,0.001,3.12,7.00
1789772166.973,13.7,1,0,1,0.000,7.59,0.001,-0.002,1.91,0.001,0.000,3.10,7.00
1789772166.996,13.4,1,0,1,-0.000,7.59,0.001,-0.002,1.95,0.001,0.000,3.14,7.00
1789772167.016,11.8,1,0,1,0.000,7.59,0.001,-0.002,1.97,0.001,0.000,3.16,7.00
1789772167.038,11.4,1,0,1,0.000,7.69,0.000,-0.001,1.96,0.000,0.000,3.16,7.00
1789772167.061,12.8,1,0,1,-0.000,7.69,0.000,-0.001,1.96,0.000,0.000,3.15,7.00
1789772167.083,11.8,1,0,1,0.000,7.79,0.000,-0.001,1.94,0.000,0.000,3.13,7.00
1789772167.106,12.6,1,0,1,0.000,7.79,0.000,-0.001,1.93,0.000,0.000,3.12,7.00
1789772167.127,11.4,1,0,1,0.000,7.89,0.000,-0.001,1.99,0.000,0.000,3.18,7.00
1789772167.152,14.1,1,0,1,-0.000,7.89,0.000,-0.001,1.94,0.000,0.000,3.13,7.00
1789772167.172,12.3,1,0,1,-0.000,7.89,0.000,-0.001,1.91,0.000,0.000,3.10,7.00
1789772167.193,11.4,1,0,1,0.000,7.99,0.000,-0.001,1.93,0.000,0.000,3.13,7.00
1789772167.217,12.6,1,0,1,0.000,8.09,0.000,-0.001,1.95,0.000,0.000,3.14,7.00
1789772167.239,12.1,1,0,1,-0.000,8.09,0.000,-0.001,1.94,0.000,0.000,3.13,7.00
1789772167.260,11.6,1,0,1,0.000,8.19,-0.000,-0.000,1.94,0.000,-0.000,3.13,7.00
1789772167.283,12.3,1,0,1,0.000,8.19,-0.000,-0.000,1.93,0.000,0.000,3.12,7.00
1789772167.306,12.3,1,0,1,-0.000,8.19,-0.000,-0.000,1.92,0.000,-0.000,3.12,7.00
1789772167.326,11.0,1,0,1,0.000,8.29,-0.000,-0.000,1.93,-0.000,0.000,3.12,7.00
1789772167.349,11.6,1,0,1,0.000,8.29,-0.000,-0.000,1.94,0.000,0.000,3.14,7.00
1789772167.371,11.6,1,0,1,0.000,8.39,-0.000,-0.000,1.96,-0.000,0.000,3.15,7.00
1789772167.395,13.0,1,0,1,0.000,8.39,-0.000,-0.000,1.97,0.000,0.000,3.16,7.00
1789772167.420,15.5,1,0,1,-0.000,8.39,-0.000,-0.000,1.96,0.000,0.000,3.15,7.00
1789772167.441,14.3,1,0,1,0.000,8.49,-0.000,-0.000,1.94,0.000,0.000,3.13,7.00
1789772167.463,14.5,1,0,1,0.000,8.59,-0.000,-0.000,1.93,0.000,0.000,3.12,7.00
1789772167.483,11.8,1,0,1,0.000,8.59,-0.000,-0.000,1.91,0.000,0.000,3.10,7.00
1789772167.507,14.1,1,0,1,0.000,8.59,-0.000,-0.000,1.91,0.000,0.000,3.11,7.00
1789772167.527,11.5,1,0,1,0.000,8.69,-0.000,-0.000,1.92,0.000,-0.000,3.12,7.00
1789772167.551,13.0,1,0,1,0.000,8.69,-0.000,-0.000,1.94,0.000,0.000,3.13,7.00
1789772167.570,10.6,1,0,1,0.000,8.79,-0.000,-0.000,1.93,0.000,0.000,3.12,7.00
1789772167.593,11.2,1,0,1,0.000,8.79,-0.000,-0.000,1.95,-0.000,0.000,3.14,7.00
1789772167.616,11.9,1,0,1,0.000,8.79,-0.000,-0.000,1.93,0.000,0.000,3.12,7.00
1789772167.639,11.6,1,0,1,0.000,8.89,-0.000,-0.000,1.93,0.000,0.000,3.12,7.00
1789772167.664,14.8,1,0,1,0.000,8.89,-0.000,-0.000,1.94,0.000,-0.000,3.13,7.00
1789772167.683,12.0,1,0,1,0.000,8.99,-0.000,0.000,1.90,0.000,-0.000,3.10,7.00
1789772167.705,11.8,1,0,1,0.000,8.99,-0.000,0.000,1.91,0.000,-0.000,3.11,7.00
1789772167.729,13.3,1,0,1,-0.000,8.99,-0.000,0.000,1.92,-0.000,-0.000,3.11,7.00
1789772167.750,11.8,1,0,1,0.000,9.09,-0.000,0.000,1.92,-0.000,-0.000,3.11,7.00
1789772167.772,12.2,1,0,1,0.000,9.19,-0.000,0.000,1.92,-0.000,-0.000,3.11,7.00
1789772167.795,12.7,1,0,1,-0.000,9.19,-0.000,0.000,1.93,-0.000,-0.000,3.12,7.00
1789772167.815,10.9,1,0,1,0.000,9.19,-0.000,0.000,1.90,-0.000,-0.000,3.10,7.00
1789772167.840,13.2,1,0,1,0.000,9.19,-0.000,0.000,1.89,-0.000,-0.000,3.09,7.00
1789772167.861,11.7,1,0,1,0.000,9.29,-0.000,0.000,1.91,-0.000,-0.000,3.11,7.00
1789772167.882,11.3,1,0,1,0.000,9.39,-0.000,0.000,1.93,-0.000,-0.000,3.12,7.00
1789772167.904,10.7,1,0,1,0.000,9.39,-0.000,0.000,1.94,-0.000,0.004,3.13,7.00
1789772167.926,10.7,1,0,1,0.000,9.49,-0.000,0.000,1.93,-0.000,0.006,3.12,6.99
1789772167.951,14.0,1,0,1,0.000,9.49,-0.000,0.000,1.94,-0.000,-0.000,3.13,7.00
1789772167.979,18.4,1,0,1,0.000,9.49,-0.000,0.000,1.94,0.004,-0.001,3.13,7.00
1789772167.995,13.2,1,0,1,0.000,9.59,-0.000,0.001,1.94,0.006,-0.001,3.13,7.00
1789772168.018,13.4,1,0,1,0.000,9.59,-0.000,0.001,1.94,-0.000,-0.001,3.13,7.00
1789772168.039,12.8,1,0,1,0.000,9.69,-0.000,0.001,1.96,-0.001,-0.001,3.15,7.00
1789772168.062,13.7,1,0,1,0.000,9.69,-0.000,0.001,1.92,-0.001,-0.001,3.12,7.00
1789772168.085,13.8,1,0,1,0.000,9.79,0.000,0.001,1.92,-0.001,-0.001,3.11,7.00
1789772168.106,12.7,1,0,1,0.000,9.79,0.000,0.001,1.90,-0.001,-0.001,3.09,7.00
1789772168.128,13.0,1,0,1,0.000,9.79,0.000,0.001,1.95,-0.001,-0.001,3.14,7.00
1789772168.152,14.6,1,0,1,0.000,9.89,0.000,0.001,1.95,-0.001,-0.001,3.15,7.00
1789772168.174,14.2,1,0,1,0.000,9.89,0.000,0.001,1.94,-0.001,-0.001,3.13,7.00
1789772168.198,16.0,1,0,1,-0.000,9.99,0.000,0.001,1.93,-0.001,-0.001,3.12,7.00
1789772168.221,16.3,1,0,1,-0.000,9.99,0.000,0.001,1.96,-0.001,-0.001,3.15,7.00
1789772168.240,14.1,1,0,1,0.000,10.09,0.000,0.000,1.94,-0.001,-0.000,3.13,7.00
1789772168.262,13.3,1,0,1,0.000,10.09,0.000,0.000,1.89,-0.001,-0.000,3.09,7.00
1789772168.284,13.4,1,0,1,0.000,10.19,0.000,0.000,1.94,-0.001,-0.000,3.13,7.00
1789772168.311,17.9,1,0,1,0.000,10.19,0.000,0.000,1.95,-0.000,-0.000,3.14,7.00
1789772168.330,14.3,1,0,1,0.000,10.19,0.000,0.000,1.96,-0.000,-0.000,3.15,7.00
1789772168.352,14.1,1,0,1,0.000,10.29,0.000,0.000,1.95,-0.000,-0.000,3.14,7.00
1789772168.374,14.2,1,0,1,0.000,10.29,0.000,0.000,1.97,-0.000,-0.000,3.16,7.00
1789772168.397,14.7,1,0,1,0.000,10.29,0.000,0.000,1.95,-0.000,-0.000,3.15,7.00
