#{"t_start": 1787521111.830546, "env_id": "None"}
r,l,t
256.9103,203,4162.71692
808.774635,582,4236.595178
673.146633,483,4300.240198
466.684376,342,4343.291718
1517.514429,1047,4478.005807
621.33966,419,4533.383769
65.828735,58,4541.888277
1300.569422,910,4658.638577
351.513841,230,4689.967573
682.403265,468,4751.957855
2704.271958,1800,4984.133819
198.591625,133,5003.073722
433.46271,286,5041.186783
132.498374,101,5055.0092
416.584164,292,5092.165164
339.04893,242,5124.241849
1379.33973,911,5243.587264
1100.727362,731,5339.285724
59.652021,52,5346.881167
535.57289,361,5394.031721
160.68893,117,5409.659468
683.119217,476,5471.041392
2658.860074,1770,5702.031731
1797.793979,1195,5854.055689
1840.811613,1196,6008.078089
975.197493,633,6088.810208
399.561251,284,6125.101723
-6.283584,13,6127.431132
2241.104068,1453,6315.916166
186.423603,127,6332.74069
688.533251,462,6391.738548
8.468044,18,6394.742339
2862.125542,1800,6625.619789
136.964067,106,6640.023898
1888.907735,1195,6795.950782
1107.334704,713,6890.134793
273.193598,191,6915.185251
741.948098,502,6978.745561
128.402401,89,6991.11037
35.456001,37,6996.77813
179.172126,122,7013.641865
60.372248,48,7020.90836
1327.101314,879,7130.166884
264.210488,179,7153.491557
2851.114434,1800,7383.241708
2221.447615,1405,7560.672377
2946.82083,1800,7790.704257
2243.875808,1395,7969.097492
1466.35479,883,8084.375893
1975.01143,1216,8241.325168
748.494422,466,8301.602139
2893.104081,1780,8529.458065
1524.928902,952,8651.453827
59.581508,48,8658.355168
2114.86044,1322,8825.62282
2098.052304,1310,8992.06143
1054.322311,651,9075.781384
176.044929,116,9091.373474
144.776816,89,9105.096435
214.761648,144,9123.664653
1116.756861,698,9212.795257
1684.01124,1036,9346.359264
2316.589474,1386,9527.247626
2033.548777,1234,9686.027719
780.790904,472,9746.293216
2984.29833,1800,9975.056537
674.808337,416,10029.265368
631.090488,379,10078.511898
2990.099241,1800,10307.064566
1658.222574,996,10434.611166
2230.426645,1336,10605.090008
1297.615548,767,10705.556751
1541.469823,902,10822.646348
1931.938986,1178,10973.581812
217.742043,137,10992.375889
949.443251,574,11065.549127
699.825805,424,11121.630615
-4.933823,9,11124.300485
9.352809,15,11128.405442
112.474813,70,11139.935262
51.056462,35,11147.372444
-13.04777,4,11149.227755
7.637751,8,11152.353555
3125.820164,1800,11386.955528
1539.301671,921,11503.638868
80.092167,57,11511.917216
1018.91167,597,11590.075628
3117.429251,1800,11819.524861
1611.423731,960,11941.523791
1793.060962,1061,12077.415012
118.317952,68,12089.114325
2240.977105,1293,12254.914363
7.522827,16,12257.721277
2483.249453,1418,12441.724698
420.072184,250,12474.759665
1803.933288,1040,12611.316551
