#{"t_start": 1787641212.897058, "env_id": "None"}
r,l,t
490.424352,547,4818.501335
123.9609,151,4827.665482
1494.329717,1647,4919.905557
7.503514,32,4922.473854
974.279092,1076,4983.147957
234.278558,275,4999.161195
75.689539,106,5005.847364
1054.803576,1157,5071.449534
1580.630092,1725,5168.122371
1160.607213,1256,5238.894542
3586.035687,3885,5455.743502
2583.66614,2780,5611.488297
1745.914331,1874,5716.901852
1241.06571,1353,5792.868741
554.919128,618,5827.980035
213.750898,250,5842.881427
1891.895935,2031,5956.659678
74.751638,99,5962.964297
113.375214,150,5972.132337
1611.226586,1726,6069.217473
330.511518,388,6091.650449
1370.37815,1497,6175.684575
2304.330739,2463,6313.612874
1025.897879,1109,6376.51541
1898.681907,2015,6490.098349
2432.825654,2642,6638.043477
3354.644506,3556,6837.720566
4130.829709,4400,7084.691902
2976.405016,3186,7263.246328
2155.237641,2296,7392.539437
1621.457475,1704,7488.707748
598.024352,665,7526.870542
1439.160844,1537,7613.348536
2116.95091,2255,7739.510328
1505.629207,1609,7829.854404
4137.140815,4400,8075.914721
812.246804,885,8126.289909
4181.230046,4400,8372.663445
1219.825136,1320,8446.910688
2353.753196,2522,8588.302128
497.123857,559,8620.147428
1233.357783,1295,8693.513461
116.328469,144,8702.266445
778.806796,812,8748.620397
4166.688501,4400,8994.614697
200.684399,230,9008.191506
1026.79666,1087,9069.595628
54.391707,78,9074.760398
2785.582018,2933,9239.822275
800.746694,887,9289.814607
3912.038988,4126,9520.20992
930.073443,1033,9578.595381
2337.265354,2492,9718.423959
1506.546525,1623,9809.699007
123.893008,156,9819.202095
919.839784,961,9873.650365
329.310244,369,9894.981033
251.678019,295,9912.182588
55.851546,83,9917.624286
1588.538889,1712,10013.729841
114.027017,143,10022.582041
207.510556,244,10036.954377
57.173731,84,10042.389475
3953.275442,4198,10277.152767
4199.923436,4400,10523.573943
4134.27502,4400,10770.317548
77.124983,105,10776.959829
53.480123,83,10782.395458
1315.481265,1392,10861.02776
2721.113941,2852,11020.73803
2021.039154,2124,11139.881392
1628.52695,1714,11236.235367
1622.208874,1685,11330.973311
399.380325,446,11356.486411
1798.937405,1911,11463.937928
479.158538,506,11493.00902
1806.836302,1931,11601.264035
187.763253,219,11614.298854
2285.056131,2430,11750.385012
261.118642,306,11768.148973
988.399311,1057,11827.825232
1108.389618,1178,11894.219636
414.16917,448,11919.884704
65.178093,99,11926.1521
611.86276,662,11963.835336
1103.19643,1178,12030.453727
2423.81002,2566,12174.316251
4238.532679,4400,12421.109233
2915.164221,3032,12591.660408
228.085858,249,12606.719225
75.42238,99,12612.969614
2327.569108,2435,12749.119454
895.780569,961,12803.396203
1337.727197,1385,12881.216351
1456.942346,1534,12967.262616
219.623215,249,12981.909045
1179.561199,1272,13053.385794
180.577834,203,13066.200296
4278.249629,4400,13312.942383
3010.327476,3141,13488.749502
3339.130449,3428,13680.681288
752.915358,765,13726.529382
39.144452,67,13731.193148
3863.132011,4012,13957.549643
220.515184,246,13971.9815
1917.246893,1990,14083.31621
466.456619,502,14112.067356
195.969822,221,14125.082381
3863.672902,3997,14352.319335
273.333253,294,14369.798796
312.576197,366,14391.032525
2763.09244,2876,14552.477368
4190.303827,4400,14798.380152
660.702364,696,14838.08482
2957.794121,3087,15011.171951
1047.317076,1095,15072.874014
1900.755481,2004,15185.582787
1045.539794,1101,15247.869179
685.141956,725,15289.135448
608.1878,650,15326.216956
751.298061,813,15372.497498
1186.858022,1254,15443.246625
453.996717,508,15472.383871
3142.96846,3294,15656.770227
1743.915472,1848,15761.081456
2851.309044,3021,15930.556936
752.913349,842,15978.495433
468.289302,511,16007.961349
838.237225,899,16058.797977
3035.636793,3173,16236.870632
355.197277,393,16260.1607
1470.806133,1513,16347.526491
343.638172,379,16369.378296
4178.698042,4400,16615.988421
2949.877632,3110,16790.428079
1298.080392,1417,16870.177501
2230.916068,2311,17003.745797
264.501925,286,17020.663249
