# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.3388,-1.6303,0.7713,0.8338
-1.2970,-1.4906,0.7213,0.8213
-1.2586,-1.3499,0.7338,0.8588
-1.2238,-1.2083,0.6838,0.7963
-1.1929,-1.0658,0.7088,0.8088
-1.1663,-0.9224,0.6713,0.7838
-1.1442,-0.7782,0.6963,0.7463
-1.1264,-0.6335,0.6713,0.7088
-1.1122,-0.4884,0.6588,0.6713
-1.1015,-0.3429,0.6963,0.6838
-1.0937,-0.1973,0.6838,0.6463
-1.0885,-0.0515,0.6838,0.5963
-1.0856,0.0943,0.6838,0.5963
-1.0847,0.2401,0.6838,0.5963
-1.0854,0.3859,0.6838,0.5963
-1.0876,0.5318,0.6838,0.5963
-1.0908,0.6776,0.6838,0.5963
-1.0949,0.8233,0.6963,0.6463
-1.0996,0.9691,0.6463,0.6338
-1.1049,1.1148,0.6463,0.6338
-1.1106,1.2606,0.6588,0.6213
-1.1166,1.4063,0.6588,0.6213
-1.1229,1.5520,0.6213,0.6088
-1.1293,1.6977,0.6213,0.6088
-1.1358,1.8434,0.6338,0.6463
-1.1423,1.9891,0.6338,0.6463
-1.1486,2.1348,0.6463,0.6338
-1.1548,2.2805,0.6463,0.6338
-1.1607,2.4262,0.6588,0.6213
-1.1662,2.5719,0.6588,0.6213
-1.1714,2.7177,0.6713,0.6088
-1.1776,2.8634,0.6713,0.6088
-1.1860,3.0090,0.6838,0.6463
-1.1981,3.1543,0.6963,0.6463
-1.2153,3.2991,0.7213,0.6213
-1.2393,3.4429,0.6963,0.6088
-1.2719,3.5851,0.6963,0.7588
-1.3154,3.7242,0.7088,2.8650
-1.3723,3.8584,0.7588,2.8650
-1.4451,3.9846,0.8088,2.8650
-1.5359,4.0986,0.9212,2.8650
-1.6447,4.1954,1.0713,0.9837
-1.7682,4.2728,1.2588,0.9712
-1.8999,4.3352,1.4087,0.9962
-2.0359,4.3878,1.5337,2.8650
-2.1738,4.4353,1.6213,2.8650
-2.3122,4.4813,1.6963,2.8650
-2.4498,4.5297,1.7087,2.8650
-2.5850,4.5842,1.7337,2.8650
-2.7183,4.6434,1.7962,2.8650
-2.8567,4.6885,1.9963,2.8650
-3.0006,4.6811,2.1963,2.0838
-3.1224,4.6027,1.6712,2.8650
-3.2158,4.4911,1.3838,2.8650
-3.2861,4.3635,1.2087,2.8650
-3.3332,4.2257,1.0837,2.8650
-3.3558,4.0818,0.9837,2.7588
-3.3576,3.9360,0.9337,2.7088
-3.3449,3.7908,0.8962,2.6588
-3.3246,3.6464,0.9212,2.6712
-3.3029,3.5022,0.8962,2.6712
-3.2852,3.3574,0.9087,2.6963
-3.2720,3.2122,0.8712,0.7713
-3.2620,3.0667,0.8712,0.8088
-3.2538,2.9211,0.8838,0.7963
-3.2460,2.7754,0.8463,0.7963
-3.2373,2.6299,0.8463,0.7838
-3.2266,2.4844,0.8088,0.7713
-3.2138,2.3392,0.8213,0.8088
-3.1994,2.1940,0.7963,0.7963
-3.1840,2.0490,0.8088,0.7838
-3.1681,1.9040,0.8213,0.7713
-3.1521,1.7591,0.7838,0.7463
-3.1367,1.6141,0.8088,0.7338
-3.1223,1.4689,0.7713,0.7713
-3.1093,1.3237,0.7838,0.7588
-3.0983,1.1783,0.7838,0.7463
-3.0897,1.0327,0.7463,0.7338
-3.0837,0.8870,0.7463,0.7338
-3.0808,0.7412,0.7088,0.7213
