#{"t_start": 1787588238.8745835, "env_id": "None"}
r,l,t
43.274306,61,2045.419416
44.740902,64,2049.748527
38.047094,59,2053.851811
46.627825,57,2057.945739
44.684527,62,2062.340379
45.629314,58,2066.518461
45.561956,65,2070.942725
48.824704,69,2075.568312
45.221036,58,2079.665528
44.892069,58,2083.901078
38.198254,59,2088.088873
44.637934,58,2092.26658
45.060267,58,2096.402133
44.310475,68,2101.074191
43.097404,61,2105.404629
44.583196,63,2109.673658
42.943382,61,2114.1188
45.745119,66,2118.546557
43.504977,65,2123.086192
45.301076,59,2127.35375
38.579733,59,2131.511735
44.98813,55,2135.663977
40.208641,55,2139.898566
45.266688,62,2144.325778
45.429399,63,2148.623427
44.96102,57,2152.761119
43.312234,61,2156.980362
44.436193,60,2161.152446
45.806825,59,2165.214478
51.338005,63,2169.601905
47.165053,64,2174.202449
39.129166,57,2178.256521
44.371351,60,2182.463722
47.926312,68,2187.142487
44.588653,56,2191.305411
45.698423,67,2195.922569
48.249775,57,2200.246626
49.260945,68,2204.933394
45.88139,61,2209.308424
42.603523,65,2213.796528
40.609472,68,2218.356969
45.207257,63,2222.633457
44.509126,61,2226.912825
50.280892,63,2231.507458
26.810317,52,2235.274136
49.705627,65,2239.896974
44.721964,61,2244.234862
48.173045,62,2248.739643
48.139944,70,2253.503216
44.612459,61,2257.750763
41.274385,66,2262.296608
35.880097,60,2266.485173
48.17372,62,2270.980847
48.00405,69,2275.662073
41.913585,64,2280.094752
45.171876,57,2284.196411
45.777772,56,2288.386054
42.506238,62,2292.66567
45.855072,59,2296.840223
44.511146,65,2301.426082
49.35582,64,2305.868493
41.235646,64,2310.359768
45.707185,60,2314.546589
43.03205,60,2318.81488
44.358264,61,2323.208761
49.49479,66,2327.748832
48.777596,63,2332.254389
44.699183,58,2336.530406
45.182571,59,2340.700898
46.128637,58,2344.863708
46.429626,70,2349.637067
47.621783,67,2354.383709
44.329009,59,2358.611013
45.970715,58,2362.782787
45.402791,60,2367.073476
46.1459,62,2371.361647
34.887876,61,2375.742705
46.035438,67,2380.396096
45.187051,68,2385.085468
43.708704,60,2389.375349
46.748147,59,2393.532868
46.607228,57,2397.761431
43.250289,64,2402.191154
48.525867,66,2406.895735
46.325137,73,2411.896032
46.414151,62,2416.134493
55.604802,84,2421.684146
49.810387,67,2426.325842
