#{"t_start": 1787658536.5629458, "env_id": "None"}
r,l,t
568.443841,620,4739.514026
1007.144667,1055,4800.608998
397.902035,460,4827.280496
101.060748,129,4835.331882
111.962292,149,4844.506999
1167.749578,1200,4914.118273
384.066619,430,4938.95262
570.771856,660,4977.987101
204.89759,227,4991.862168
271.870686,312,5010.472932
1126.978551,1200,5079.99154
1120.682956,1200,5148.825578
1126.377887,1200,5217.418771
746.09134,780,5262.712984
665.820633,712,5304.794361
1168.197813,1200,5374.701354
1154.420783,1200,5445.462627
642.865692,674,5485.091502
264.231215,271,5502.272732
961.051729,1040,5563.119138
1193.941204,1200,5633.538713
744.344626,758,5678.941719
1193.872014,1200,5750.208087
859.778369,920,5805.018178
71.343189,100,5811.778695
124.341858,158,5821.841286
1193.875345,1200,5893.580654
1182.591725,1200,5965.389198
876.744994,892,6019.693253
1079.347791,1125,6086.932408
399.110645,412,6112.013519
1186.281044,1200,6184.486505
974.17632,1006,6245.856881
129.872841,156,6255.934702
423.990932,446,6283.603904
1228.572666,1200,6357.170569
204.608216,225,6371.413791
412.364067,428,6398.940234
592.591664,606,6436.496361
1200.807761,1200,6510.269102
347.235328,375,6533.419386
794.797621,802,6582.993673
1212.57159,1200,6656.50966
1211.833854,1200,6730.582065
124.810661,143,6740.269597
734.658624,750,6787.560478
353.565776,366,6810.802187
634.351076,655,6851.15333
-4.801942,22,6853.384288
48.714451,67,6858.206852
307.852786,307,6877.998006
486.831922,504,6910.468464
872.976545,867,6965.412596
1184.991923,1200,7040.076029
1208.617017,1200,7114.550587
48.974006,62,7119.402669
1019.24368,1023,7183.730785
386.046857,402,7209.580328
194.429919,209,7223.235207
879.713618,883,7278.244716
1202.395795,1200,7352.668933
650.667197,643,7394.7134
1204.672975,1200,7468.512139
573.847369,573,7504.380506
1175.668841,1176,7579.008795
1007.375022,1024,7642.853007
133.198761,147,7652.577388
412.127757,420,7680.142845
280.326998,289,7698.683132
731.666775,754,7745.445123
276.98856,290,7764.010081
130.25576,150,7774.338104
83.760538,91,7781.504043
571.125332,558,7817.389259
877.162651,887,7873.347832
1254.065439,1200,7948.780371
723.636355,734,7995.343561
1231.436125,1200,8071.481863
415.430355,415,8098.602423
514.391534,494,8129.985915
743.776001,726,8176.229166
81.837507,104,8183.413527
1220.609237,1200,8258.3882
902.480111,877,8314.469148
83.166251,100,8321.541308
1252.864046,1200,8399.808175
775.421179,756,8449.597823
121.389945,136,8460.086789
485.83692,492,8492.842754
1202.241299,1200,8565.526655
1150.859163,1200,8636.40891
1174.32553,1200,8708.276119
278.586105,287,8727.115119
1258.922007,1200,8804.206841
377.202339,420,8829.392027
78.728378,109,8836.370055
1211.617341,1200,8908.461268
386.222285,400,8933.279275
1166.192746,1200,9004.423107
1184.553307,1200,9075.879955
334.859923,338,9097.980798
282.598843,285,9117.288724
639.359493,642,9158.969384
47.063388,70,9164.290704
738.746155,688,9210.645776
123.031585,142,9220.225462
431.270711,440,9248.804015
226.03182,224,9264.804784
74.54328,96,9271.764907
426.033703,437,9298.768321
1185.683061,1200,9370.970309
1145.726935,1200,9441.874263
1193.539961,1200,9513.270246
1175.467258,1103,9585.912631
193.269524,201,9601.118818
239.187933,245,9617.250222
529.395223,505,9650.772867
272.577824,239,9670.399962
1193.010682,1039,9742.939511
1174.262821,1150,9815.063881
1022.448822,995,9877.994082
587.517193,567,9914.281417
222.411026,222,9930.794923
364.196739,406,9955.964513
1025.097234,910,10020.277939
1183.808127,1127,10093.983444
485.046543,475,10124.402955
739.66218,727,10171.357821
155.282085,148,10182.894582
50.582559,64,10188.319401
47.759927,59,10193.192528
1042.281385,1015,10258.783768
316.749029,323,10279.568651
868.331248,890,10333.892171
76.255821,97,10340.829792
537.698062,543,10375.383794
1323.541816,1200,10455.341115
523.65593,492,10488.334219
963.456884,872,10549.646615
82.89431,79,10557.066556
131.887164,112,10568.006136
130.907873,120,10578.466013
108.205452,115,10587.720179
537.827838,455,10622.648234
230.680431,219,10638.816478
1251.24977,1200,10715.39442
796.937018,687,10764.903839
630.37604,523,10805.072753
554.362614,422,10842.788196
428.484473,314,10871.674423
47.305594,57,10877.982002
223.78607,172,10894.682041
713.849166,518,10942.282221
35.264179,39,10946.954687
83.577932,78,10954.445839
320.522334,259,10977.46084
194.667745,166,10991.295493
144.127354,121,11002.702958
426.811661,321,11032.260561
135.691697,112,11042.96565
79.883833,66,11050.590287
63.630173,57,11057.029951
50.038555,44,11062.748725
54.757312,52,11069.444306
47.956521,39,11074.376639
58.359022,49,11080.609525
177.931717,125,11094.62997
278.265795,190,11114.444976
124.132682,99,11126.276275
37.308912,34,11130.927065
35.013042,30,11135.269177
73.606031,65,11143.381325
39.054368,37,11148.343325
76.560831,62,11155.682528
123.953877,91,11165.932891
223.894146,154,11182.180894
121.667565,85,11192.273054
42.459183,32,11196.742245
48.199654,42,11201.960211
184.923421,119,11215.688147
222.213381,145,11231.681537
277.538632,177,11252.307982
279.868524,178,11272.945784
140.044032,95,11284.090949
409.444262,252,11312.845876
199.692799,121,11327.159214
52.430536,43,11332.660228
125.46511,93,11343.775271
267.690123,171,11363.504777
39.015073,39,11368.763063
196.625418,114,11382.263569
73.839294,59,11389.166958
42.135155,42,11394.257372
288.607416,187,11414.640236
44.264733,37,11419.549494
43.379535,34,11424.207056
202.284498,136,11439.836391
48.170128,41,11445.209244
271.746518,176,11465.296619
285.549252,171,11484.927362
96.41506,73,11492.863097
500.191062,290,11526.24837
263.661753,173,11545.65115
120.532645,88,11555.604342
658.710879,419,11599.485198
292.566867,186,11619.466427
41.880584,36,11624.470216
230.470748,153,11641.578306
75.322196,62,11648.729697
201.169342,123,11662.889726
268.991575,179,11682.697157
54.124952,50,11688.375112
119.744005,86,11697.978187
333.418748,210,11721.205058
131.587555,96,11732.041576
198.459586,133,11747.417978
88.584463,59,11754.893779
116.897053,86,11764.619443
235.445313,156,11780.991793
278.187518,215,11801.513412
224.43174,182,11818.396835
129.691174,102,11829.008269
133.55775,115,11840.517463
135.084005,98,11851.415079
509.706935,309,11885.172503
508.95999,308,11919.840882
422.902168,260,11948.952689
655.152242,435,11992.693811
223.236325,155,12008.790274
522.79193,326,12042.639474
818.876045,524,12095.61963
187.729513,127,12109.617066
71.280003,60,12116.749226
963.076182,647,12179.495436
1300.692531,1185,12262.018471
569.115239,512,12298.760008
