x,y,v,kappa,steer_deg
2.33817,-5.15620,6.67103,-0.01613,-0.29939
2.33907,-5.03718,6.59660,-0.01910,-0.35461
2.34024,-4.91829,6.45397,-0.02971,-0.55158
2.34182,-4.79951,6.31150,-0.04370,-0.81123
2.34402,-4.68083,6.17005,-0.05811,-1.07857
2.34704,-4.56220,6.03027,-0.07253,-1.34624
2.35108,-4.44357,5.89265,-0.08701,-1.61487
2.35635,-4.32490,5.75763,-0.10158,-1.88512
2.36306,-4.20614,5.62559,-0.11629,-2.15783
2.37143,-4.08726,5.49689,-0.13120,-2.43403
2.38169,-3.96819,5.37191,-0.14632,-2.71429
2.39408,-3.84891,5.25094,-0.16160,-2.99716
2.40881,-3.72960,5.13452,-0.17701,-3.28233
2.42611,-3.61041,5.02353,-0.19281,-3.57472
2.44629,-3.49106,4.91867,-0.20900,-3.87390
2.46958,-3.37176,4.82073,-0.22500,-4.16953
2.49613,-3.25309,4.73022,-0.24023,-4.45070
2.52600,-3.13575,4.64674,-0.25418,-4.70799
2.55911,-3.02058,4.56866,-0.26645,-4.93406
2.59526,-2.90832,4.49302,-0.27692,-5.12692
2.63415,-2.79971,4.41779,-0.28644,-5.30216
2.67573,-2.69459,4.34253,-0.29628,-5.48337
2.72009,-2.59246,4.26764,-0.30710,-5.68231
2.76733,-2.49310,4.19519,-0.31956,-5.91127
2.81783,-2.39584,4.12858,-0.33395,-6.17531
2.87190,-2.30041,4.07345,-0.34939,-6.45846
2.92956,-2.20715,4.04887,-0.36363,-6.71931
2.99102,-2.11609,4.04887,-0.36600,-6.76282
3.05704,-2.02633,4.04887,-0.34088,-6.30255
3.12763,-1.93768,4.09950,-0.30191,-5.58680
3.20203,-1.85056,4.17342,-0.25926,-4.80157
3.27979,-1.76484,4.26374,-0.21510,-3.98661
3.36036,-1.68036,4.36634,-0.16967,-3.14655
3.44339,-1.59669,4.47858,-0.12298,-2.28186
3.52832,-1.51358,4.59793,-0.07507,-1.39325
3.61394,-1.43126,4.72085,-0.02646,-0.49127
3.69969,-1.34934,4.83701,0.02225,0.41303
3.78539,-1.26703,4.64312,0.07108,1.31921
3.87052,-1.18387,4.45093,0.12021,2.23040
3.95464,-1.09932,4.26315,0.16984,3.14964
4.03731,-1.01278,4.08152,0.22013,4.07951
4.11797,-0.92375,3.90750,0.27137,5.02466
4.19600,-0.83175,3.74271,0.32435,5.99913
4.27100,-0.73595,3.58872,0.37953,7.01028
4.34212,-0.63586,3.44834,0.43615,8.04334
4.40816,-0.53149,3.32556,0.49214,9.05967
4.46766,-0.42346,3.22439,0.54360,9.98882
4.51900,-0.31355,3.14807,0.58611,10.75240
4.56111,-0.20407,3.09397,0.61656,11.29696
4.59364,-0.09766,3.06006,0.63634,11.64961
4.61733,0.00447,3.02444,0.65044,11.90048
4.63325,0.10209,2.96951,0.66554,12.16868
4.64241,0.19577,2.91174,0.68945,12.59213
4.64548,0.28846,2.91174,0.70769,12.91425
4.64245,0.38142,2.91174,0.69150,12.62838
4.63322,0.47579,2.94617,0.66967,12.24192
4.61695,0.57484,2.98811,0.65652,12.00858
4.59240,0.67924,3.02614,0.64166,11.74445
4.55854,0.78797,3.06395,0.61678,11.30088
4.51501,0.89894,3.11453,0.57898,10.62464
4.46247,1.00949,3.18292,0.52963,9.73719
4.40223,1.11750,3.26870,0.47278,8.70896
4.33606,1.22141,3.36886,0.41316,7.62450
4.26524,1.32109,3.48024,0.35437,6.54971
4.19076,1.41687,3.59998,0.29746,5.50506
4.11344,1.50926,3.72600,0.24244,4.49148
4.03382,1.59895,3.85692,0.18896,3.50346
3.95228,1.68672,3.99177,0.13631,2.52870
3.86934,1.77312,4.12925,0.08394,1.55784
3.78618,1.85803,4.26672,0.03206,0.59511
3.70331,1.94200,4.40217,-0.01844,-0.34226
3.62087,2.02591,4.53357,-0.06395,-1.18707
3.53931,2.11018,4.65807,-0.09895,-1.83617
3.45917,2.19491,4.77354,-0.12681,-2.35273
3.38120,2.27982,4.87821,-0.14934,-2.77015
3.30518,2.36552,4.97192,-0.17057,-3.16322
3.23050,2.45309,4.91524,-0.19208,-3.56112
3.15769,2.54241,4.80713,-0.21332,-3.95377
3.08728,2.63324,4.71097,-0.23448,-4.34453
3.01943,2.72582,4.63232,-0.25625,-4.74614
2.95414,2.82063,4.58215,-0.27662,-5.12143
2.89183,2.91760,4.52806,-0.28200,-5.22045
2.83275,3.01645,4.41139,-0.25416,-4.70764
2.77594,3.11820,4.24521,-0.21181,-3.92590
2.72079,3.22301,4.04129,-0.16624,-3.08305
2.66715,3.33003,3.80697,-0.11578,-2.14838
2.61439,3.43910,3.54416,-0.03908,-0.72550
2.56149,3.54976,3.26074,0.10442,1.93773
2.50669,3.66072,2.97717,0.30414,5.62784
2.44750,3.77000,2.70998,0.52702,9.68998
2.38071,3.87602,2.46675,0.76731,13.96111
2.30237,3.97714,2.25193,1.02786,18.41908
2.20974,4.06869,2.09472,1.29180,22.71140
2.10466,4.14265,1.95898,1.50644,26.01644
1.99526,4.19244,1.95898,1.56348,26.86530
1.90027,4.21728,1.95898,1.40146,24.42151
1.83025,4.22675,2.03735,1.07117,19.13978
1.78363,4.22997,2.11297,0.64469,11.79830
1.76000,4.23100,2.16151,0.50800,9.34661
1.73532,4.23177,2.21334,0.61049,11.18864
1.67059,4.23159,2.33668,0.94712,17.05953
1.59850,4.22669,2.41381,0.92833,16.74016
1.51759,4.21532,2.48598,0.74403,13.55351
1.45578,4.20316,2.49940,0.48873,8.99799
