# x_m,y_m,w_tr_right_m,w_tr_left_m,s_m,kappa_radpm
5.3193,0.8107,3.0000,0.1900,18.4000,-0.6189
5.3873,0.7375,3.0000,0.2000,18.5000,-0.5837
5.4510,0.6604,3.0000,0.2200,18.6000,-1.1751
5.5053,0.5765,2.7600,0.2500,18.7000,-1.1453
5.5496,0.4870,2.0600,0.3000,18.8000,-1.7389
5.5778,0.3912,1.6200,0.3000,18.9000,-1.9737
5.5869,0.2918,1.4000,0.2900,19.0000,-1.9603
5.5767,0.1925,1.6200,0.3000,19.1000,-1.8321
5.5487,0.0967,1.9700,0.3000,19.2000,-1.5735
5.5061,0.0063,2.5300,0.2500,19.3000,-1.1089
5.4537,-0.0789,3.0000,0.2100,19.4000,-1.1721
5.3918,-0.1574,3.0000,0.2100,19.5000,-0.6064
5.3252,-0.2319,3.0000,0.2000,19.6000,-0.8304
5.2527,-0.3008,3.0000,0.2000,19.7000,-0.6092
5.1761,-0.3651,3.0000,0.2000,19.8000,-0.4896
5.0965,-0.4255,3.0000,0.2200,19.9000,-0.4336
5.0143,-0.4825,3.0000,0.2500,20.0000,-0.3916
4.9299,-0.5362,3.0000,0.2700,20.1000,-0.3583
4.8437,-0.5868,3.0000,0.3000,20.2000,-0.3209
4.7559,-0.6347,3.0000,0.3100,20.3000,-0.2643
4.6669,-0.6802,1.0900,0.3500,20.4000,-0.1907
4.5770,-0.7240,1.0500,0.3800,20.5000,-0.1046
4.4867,-0.7669,1.0100,0.4200,20.6000,-0.0143
4.3963,-0.8097,0.9800,0.4600,20.7000,0.0707
4.3062,-0.8530,0.9500,0.4900,20.8000,0.1412
4.2167,-0.8977,0.9000,0.5200,20.9000,0.1971
4.1281,-0.9441,0.8700,0.5400,21.0000,0.2390
4.0407,-0.9926,0.8200,0.5800,21.1000,0.2702
3.9546,-1.0435,0.8100,0.5900,21.2000,0.2943
3.8700,-1.0968,0.7700,0.6100,21.3000,0.3132
3.7871,-1.1528,0.7500,0.6300,21.4000,0.3284
3.7062,-1.2115,0.7300,0.6400,21.5000,0.3397
3.6272,-1.2729,0.7100,0.6400,21.6000,0.3471
