# s_m,x_m,y_m,kappa_radpm,along_info,cross_info,mode
25.67886,0.80446,-15.42829,-1.27709,6.66,76.81,APPROACH
25.79401,0.78947,-15.31418,-0.72104,6.66,76.81,APPROACH
25.90917,0.78445,-15.19916,-0.37235,6.66,76.81,APPROACH
26.02432,0.78459,-15.08401,-0.12377,6.66,76.81,APPROACH
26.13947,0.78654,-14.96887,0.04479,6.66,76.81,APPROACH
26.25462,0.78833,-14.85373,0.02196,1.23,94.74,STRAIGHT_BLIND
26.36978,0.78976,-14.73859,0.02596,1.23,94.74,STRAIGHT_BLIND
26.48493,0.79087,-14.62344,0.02239,1.23,94.74,STRAIGHT_BLIND
26.60008,0.79167,-14.50830,0.02046,1.23,94.74,STRAIGHT_BLIND
26.71523,0.79221,-14.39315,0.01772,1.23,94.74,STRAIGHT_BLIND
26.83038,0.79251,-14.27799,0.01486,0.00,95.24,STRAIGHT_BLIND
26.94554,0.79261,-14.16284,0.01172,0.00,95.24,STRAIGHT_BLIND
27.06069,0.79256,-14.04769,0.00842,0.00,95.24,STRAIGHT_BLIND
27.17584,0.79240,-13.93254,0.00494,0.00,95.24,STRAIGHT_BLIND
27.29099,0.79217,-13.81739,0.00151,0.00,95.24,STRAIGHT_BLIND
27.40614,0.79193,-13.70223,-0.00244,0.00,91.94,STRAIGHT_BLIND
27.52130,0.79171,-13.58708,-0.00353,0.00,91.94,STRAIGHT_BLIND
27.63645,0.79153,-13.47193,-0.00298,0.00,91.94,STRAIGHT_BLIND
27.75160,0.79140,-13.35678,-0.00283,0.00,91.94,STRAIGHT_BLIND
27.86675,0.79130,-13.24163,-0.00257,0.00,91.94,STRAIGHT_BLIND
27.98190,0.79123,-13.12647,-0.00235,0.00,86.08,STRAIGHT_BLIND
28.09706,0.79120,-13.01132,-0.00212,0.00,86.08,STRAIGHT_BLIND
28.21221,0.79119,-12.89617,-0.00190,0.00,86.08,STRAIGHT_BLIND
28.32736,0.79121,-12.78102,-0.00168,0.00,86.08,STRAIGHT_BLIND
28.44251,0.79125,-12.66587,-0.00146,0.00,86.08,STRAIGHT_BLIND
28.55766,0.79132,-12.55071,-0.00125,0.00,74.64,STRAIGHT_BLIND
28.67282,0.79139,-12.43556,-0.00103,0.00,74.64,STRAIGHT_BLIND
28.78797,0.79149,-12.32041,-0.00082,0.00,74.64,STRAIGHT_BLIND
28.90312,0.79159,-12.20526,-0.00061,0.00,74.64,STRAIGHT_BLIND
29.01827,0.79170,-12.09011,-0.00040,0.00,74.64,STRAIGHT_BLIND
29.13342,0.79181,-11.97496,-0.00019,0.00,70.22,STRAIGHT_BLIND
29.24857,0.79193,-11.85980,0.00002,0.00,70.22,STRAIGHT_BLIND
29.36373,0.79205,-11.74465,0.00023,0.00,70.22,STRAIGHT_BLIND
29.47888,0.79217,-11.62950,0.00043,0.00,70.22,STRAIGHT_BLIND
29.59403,0.79228,-11.51435,0.00064,0.00,70.22,STRAIGHT_BLIND
29.70918,0.79238,-11.39920,0.00085,0.00,62.27,STRAIGHT_BLIND
29.82433,0.79247,-11.28404,0.00106,0.00,62.27,STRAIGHT_BLIND
29.93949,0.79254,-11.16889,0.00126,0.00,62.27,STRAIGHT_BLIND
30.05464,0.79260,-11.05374,0.00151,0.00,62.27,STRAIGHT_BLIND
30.16979,0.79264,-10.93859,0.00151,0.00,62.27,STRAIGHT_BLIND
30.28494,0.79266,-10.82344,0.00139,0.00,55.71,STRAIGHT_BLIND
30.40009,0.79266,-10.70828,0.00130,0.00,55.71,STRAIGHT_BLIND
30.51525,0.79265,-10.59313,0.00120,0.00,55.71,STRAIGHT_BLIND
30.63040,0.79261,-10.47798,0.00110,0.00,55.71,STRAIGHT_BLIND
30.74555,0.79257,-10.36283,0.00101,0.00,55.71,STRAIGHT_BLIND
30.86070,0.79251,-10.24768,0.00091,0.00,52.98,STRAIGHT_BLIND
30.97585,0.79243,-10.13252,0.00081,0.00,52.98,STRAIGHT_BLIND
31.09101,0.79235,-10.01737,0.00071,0.00,52.98,STRAIGHT_BLIND
31.20616,0.79226,-9.90222,0.00061,0.00,52.98,STRAIGHT_BLIND
31.32131,0.79216,-9.78707,0.00051,0.00,52.98,STRAIGHT_BLIND
31.43646,0.79205,-9.67192,0.00041,0.00,52.19,STRAIGHT_BLIND
31.55161,0.79194,-9.55676,0.00031,0.00,52.19,STRAIGHT_BLIND
31.66677,0.79182,-9.44161,0.00021,0.00,52.19,STRAIGHT_BLIND
31.78192,0.79170,-9.32646,0.00011,0.00,52.19,STRAIGHT_BLIND
31.89707,0.79158,-9.21131,0.00001,0.00,52.19,STRAIGHT_BLIND
32.01222,0.79146,-9.09616,-0.00009,0.00,51.60,STRAIGHT_BLIND
32.12737,0.79134,-8.98100,-0.00019,0.00,51.60,STRAIGHT_BLIND
32.24253,0.79122,-8.86585,-0.00029,0.00,51.60,STRAIGHT_BLIND
32.35768,0.79111,-8.75070,-0.00039,0.00,51.60,STRAIGHT_BLIND
32.47283,0.79100,-8.63555,-0.00049,0.00,51.60,STRAIGHT_BLIND
32.58798,0.79090,-8.52040,-0.00059,0.00,50.95,STRAIGHT_BLIND
32.70313,0.79081,-8.40524,-0.00069,0.00,50.95,STRAIGHT_BLIND
32.81829,0.79072,-8.29009,-0.00079,0.00,50.95,STRAIGHT_BLIND
32.93344,0.79065,-8.17494,-0.00089,0.00,50.95,STRAIGHT_BLIND
33.04859,0.79059,-8.05979,-0.00099,0.00,50.95,STRAIGHT_BLIND
33.16374,0.79054,-7.94464,-0.00109,0.06,51.20,STRAIGHT_BLIND
33.27889,0.79050,-7.82948,-0.00119,0.06,51.20,STRAIGHT_BLIND
33.39405,0.79048,-7.71433,-0.00129,0.06,51.20,STRAIGHT_BLIND
33.50920,0.79048,-7.59918,-0.00139,0.06,51.20,STRAIGHT_BLIND
33.62435,0.79050,-7.48403,-0.00149,0.06,51.20,STRAIGHT_BLIND
33.73950,0.79054,-7.36888,-0.00159,0.01,53.72,STRAIGHT_BLIND
33.85465,0.79059,-7.25373,-0.00169,0.01,53.72,STRAIGHT_BLIND
33.96981,0.79067,-7.13857,-0.00179,0.01,53.72,STRAIGHT_BLIND
34.08496,0.79078,-7.02342,-0.00189,0.01,53.72,STRAIGHT_BLIND
34.20011,0.79091,-6.90827,-0.00199,0.01,53.72,STRAIGHT_BLIND
34.31526,0.79106,-6.79312,-0.00208,0.01,59.06,STRAIGHT_BLIND
34.43041,0.79124,-6.67797,-0.00218,0.01,59.06,STRAIGHT_BLIND
34.54557,0.79146,-6.56281,-0.00228,0.01,59.06,STRAIGHT_BLIND
34.66072,0.79170,-6.44766,-0.00237,0.01,59.06,STRAIGHT_BLIND
34.77587,0.79197,-6.33251,-0.00247,0.01,59.06,STRAIGHT_BLIND
34.89102,0.79228,-6.21736,-0.00257,0.12,64.85,STRAIGHT_BLIND
35.00617,0.79262,-6.10221,-0.00266,0.12,64.85,STRAIGHT_BLIND
35.12133,0.79299,-5.98706,-0.00277,0.12,64.85,STRAIGHT_BLIND
35.23648,0.79341,-5.87190,-0.00279,0.12,64.85,STRAIGHT_BLIND
35.35163,0.79386,-5.75675,-0.00317,0.12,64.85,STRAIGHT_BLIND
35.46678,0.79434,-5.64160,-0.00017,0.13,67.73,STRAIGHT_BLIND
35.58193,0.79483,-5.52645,0.00345,0.13,67.73,STRAIGHT_BLIND
35.69709,0.79527,-5.41130,0.00691,0.13,67.73,STRAIGHT_BLIND
35.81224,0.79561,-5.29615,0.01044,0.13,67.73,STRAIGHT_BLIND
35.92739,0.79582,-5.18100,0.01397,0.13,67.73,STRAIGHT_BLIND
36.04254,0.79585,-5.06585,0.01762,0.00,69.11,STRAIGHT_BLIND
36.15769,0.79564,-4.95069,0.02108,0.00,69.11,STRAIGHT_BLIND
36.27285,0.79515,-4.83554,0.02554,0.00,69.11,STRAIGHT_BLIND
36.38800,0.79433,-4.72039,0.02658,0.00,69.11,STRAIGHT_BLIND
36.50315,0.79312,-4.60525,0.04082,0.00,69.11,STRAIGHT_BLIND
36.61830,0.79149,-4.49011,0.00630,0.72,62.91,APPROACH
36.73345,0.78932,-4.37498,0.17270,0.72,62.91,APPROACH
36.84860,0.78397,-4.25996,0.74365,0.72,62.91,APPROACH
36.96376,0.76816,-4.14598,1.61826,0.72,62.91,APPROACH
37.07889,0.73319,-4.03649,1.73648,0.72,62.91,APPROACH
37.19405,0.67970,-3.93460,0.55856,23.10,56.35,APPROACH
37.30920,0.61903,-3.83673,-0.24365,23.10,56.35,APPROACH
37.42435,0.56131,-3.73712,-1.13643,23.10,56.35,APPROACH
37.53950,0.51540,-3.63162,-1.19513,23.10,56.35,APPROACH
37.65465,0.48407,-3.52090,-1.12055,23.10,56.35,APPROACH
37.76980,0.46749,-3.40703,-1.15951,14.94,84.60,APPROACH
37.88495,0.46625,-3.29197,-1.22451,14.94,84.60,APPROACH
38.00011,0.48142,-3.17793,-1.41234,14.94,84.60,APPROACH
38.11525,0.51436,-3.06773,-1.38652,14.94,84.60,APPROACH
38.23040,0.56296,-2.96340,-0.63645,14.94,84.60,APPROACH
38.34556,0.61938,-2.86303,-0.04067,24.43,91.46,APPROACH
38.46071,0.67596,-2.76275,0.71539,24.43,91.46,APPROACH
38.57586,0.72502,-2.65863,1.00185,24.43,91.46,APPROACH
38.69101,0.76255,-2.54982,0.92797,24.43,91.46,APPROACH
38.80616,0.78820,-2.43762,0.88322,24.43,91.46,APPROACH
38.92131,0.80273,-2.32342,0.65812,14.71,104.87,STRAIGHT_BLIND
39.03646,0.80856,-2.20844,0.44716,14.71,104.87,STRAIGHT_BLIND
39.15162,0.80836,-2.09330,0.27948,14.71,104.87,STRAIGHT_BLIND
39.26677,0.80441,-1.97821,0.13420,14.71,104.87,STRAIGHT_BLIND
39.38192,0.79866,-1.86321,-0.00402,14.71,104.87,STRAIGHT_BLIND
39.49707,0.79293,-1.74820,-0.12410,16.00,109.73,STRAIGHT_BLIND
39.61222,0.78853,-1.63313,-0.10492,16.00,109.73,STRAIGHT_BLIND
39.72738,0.78555,-1.51802,-0.09682,16.00,109.73,STRAIGHT_BLIND
39.84253,0.78384,-1.40288,-0.08491,16.00,109.73,STRAIGHT_BLIND
39.95768,0.78326,-1.28773,-0.07329,16.00,109.73,STRAIGHT_BLIND
40.07283,0.78365,-1.17258,-0.06095,18.37,111.74,STRAIGHT_BLIND
40.18798,0.78485,-1.05743,-0.04828,18.37,111.74,STRAIGHT_BLIND
40.30314,0.78669,-0.94229,-0.03526,18.37,111.74,STRAIGHT_BLIND
40.41829,0.78899,-0.82717,-0.02206,18.37,111.74,STRAIGHT_BLIND
40.53344,0.79159,-0.71204,-0.00856,18.37,111.74,STRAIGHT_BLIND
40.64859,0.79430,-0.59692,0.00444,19.93,98.15,STRAIGHT_BLIND
40.76374,0.79695,-0.48180,0.01945,19.93,98.15,STRAIGHT_BLIND
40.87890,0.79936,-0.36667,0.02281,19.93,98.15,STRAIGHT_BLIND
