# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m
14.27885,2.49757,-7.15830,-1.57866,0.07598,0.66563,0.70937
14.39401,2.49717,-7.27345,-1.56839,0.10213,0.66563,0.70937
14.50916,2.49813,-7.38860,-1.55504,0.12939,0.67188,0.70312
14.62431,2.50080,-7.50372,-1.53846,0.15806,0.67188,0.70312
14.73946,2.50558,-7.61877,-1.51846,0.18862,0.67812,0.69688
14.85461,2.51285,-7.73369,-1.49484,0.22082,0.68437,0.69063
14.96977,2.52305,-7.84839,-1.46733,0.25702,0.69688,0.68437
15.08492,2.53663,-7.96273,-1.43611,0.28891,0.71562,0.67188
15.20007,2.55397,-8.07656,-1.40220,0.30271,0.73438,0.65938
15.31522,2.57527,-8.18972,-1.36636,0.31945,0.75850,0.64062
15.43037,2.60071,-8.30202,-1.32867,0.33539,0.78401,0.61943
15.54553,2.63047,-8.41325,-1.28916,0.35116,0.78382,0.59688
15.66068,2.66470,-8.52319,-1.24788,0.36614,0.75590,0.62161
15.77583,2.70354,-8.63159,-1.20495,0.38001,0.73418,0.63539
15.89098,2.74707,-8.73818,-1.16053,0.39231,0.72042,0.65550
16.00613,2.79536,-8.84271,-1.11481,0.40267,0.70786,0.65996
16.12129,2.84844,-8.94488,-1.06804,0.41052,0.70703,0.66563
16.23644,2.90629,-9.04444,-1.02052,0.41623,0.70379,0.65938
16.35159,2.96883,-9.14111,-0.97256,0.41699,0.70602,0.67358
16.46674,3.03595,-9.23467,-0.92464,0.42242,0.68741,0.67812
16.58189,3.10745,-9.32492,-0.87902,0.38131,0.66563,0.70312
16.69705,3.18281,-9.41198,-0.83879,0.31933,0.65312,0.70312
16.81220,3.26134,-9.49619,-0.80493,0.26679,0.65312,0.71562
16.92735,3.34242,-9.57795,-0.77704,0.21661,0.65938,0.70312
17.04250,3.42553,-9.65766,-0.75469,0.17046,0.65312,0.69688
17.15765,3.51019,-9.73571,-0.73749,0.12737,0.65938,0.69688
17.27281,3.59598,-9.81251,-0.72510,0.08691,0.66563,0.69063
17.38796,3.68255,-9.88845,-0.71728,0.04845,0.67812,0.68437
17.50311,3.76954,-9.96390,-0.71381,0.01139,0.67812,0.67812
17.61826,3.85663,-10.03923,-0.71458,-0.02484,0.69063,0.68140
17.73341,3.94350,-10.11482,-0.71950,-0.06078,0.69430,0.67618
17.84857,4.02985,-10.19101,-0.72859,-0.09691,0.68437,0.67188
17.96372,4.11533,-10.26815,-0.74189,-0.13383,0.69063,0.67188
18.07887,4.19962,-10.34661,-0.75949,-0.17133,0.69688,0.65938
18.19402,4.28234,-10.42672,-0.78154,-0.21197,0.70312,0.67095
18.30917,4.36308,-10.50882,-0.80835,-0.24748,0.70312,0.66563
18.42433,4.44138,-10.59324,-0.84208,-0.32563,0.68437,0.66563
18.53948,4.51640,-10.68059,-0.88659,-0.43784,0.69063,0.67812
18.65463,4.58688,-10.77163,-0.94544,-0.57402,0.67967,0.69688
18.76978,4.65112,-10.86717,-1.02251,-0.74982,0.65796,0.72152
18.88493,4.70677,-10.96793,-1.12277,-0.97804,0.64057,0.75338
19.00008,4.75067,-11.07430,-1.25133,-1.24304,0.63062,0.79755
19.11524,4.77885,-11.18582,-1.40894,-1.56230,0.62505,0.85654
19.23038,4.78760,-11.30049,-1.57687,-1.45876,0.62095,0.93139
19.34554,4.77746,-11.41508,-1.72831,-1.19572,0.60313,0.89226
19.46069,4.75159,-11.52722,-1.85431,-0.98160,0.61482,0.83119
19.57584,4.71317,-11.63572,-1.95764,-0.80169,0.62249,0.78162
19.69099,4.66483,-11.74019,-2.04279,-0.66529,0.64049,0.74994
19.80614,4.60857,-11.84064,-2.11415,-0.56314,0.65938,0.72843
19.92130,4.54585,-11.93719,-2.17539,-0.49510,0.67442,0.70445
20.03645,4.47773,-12.03001,-2.22854,-0.42765,0.69063,0.68437
20.15160,4.40511,-12.11937,-2.27415,-0.36339,0.69063,0.66563
20.26675,4.32881,-12.20561,-2.31262,-0.30333,0.70937,0.65938
20.38190,4.24954,-12.28912,-2.34442,-0.24770,0.70312,0.65938
20.49706,4.16791,-12.37034,-2.37005,-0.19617,0.70312,0.65938
20.61221,4.08447,-12.44969,-2.38993,-0.14811,0.70312,0.65312
20.72736,3.99967,-12.52760,-2.40442,-0.10273,0.69688,0.67188
20.84251,3.91396,-12.60449,-2.41377,-0.05919,0.69063,0.66563
20.95766,3.82772,-12.68080,-2.41814,-0.01659,0.67812,0.68437
21.07282,3.74134,-12.75695,-2.41759,0.02594,0.67812,0.69063
21.18797,3.65519,-12.83335,-2.41208,0.06940,0.67812,0.69063
21.30312,3.56965,-12.91045,-2.40144,0.11452,0.65938,0.69688
21.41827,3.48515,-12.98867,-2.38541,0.16310,0.66563,0.70312
21.53342,3.40213,-13.06846,-2.36361,0.21304,0.65938,0.70937
21.64858,3.32111,-13.15029,-2.33573,0.27682,0.65312,0.70312
21.76373,3.24267,-13.23458,-2.30367,0.29260,0.65938,0.69688
21.87888,3.16706,-13.32143,-2.27086,0.28128,0.67188,0.70061
21.99403,3.09432,-13.41069,-2.23891,0.27368,0.69010,0.68437
22.10918,3.02441,-13.50219,-2.20810,0.26233,0.70533,0.66563
22.22434,2.95730,-13.59576,-2.17866,0.24949,0.72394,0.65821
22.33949,2.89290,-13.69121,-2.15081,0.23485,0.70717,0.65312
22.45464,2.83110,-13.78837,-2.12472,0.21882,0.69541,0.66938
22.56979,2.77177,-13.88706,-2.10053,0.20165,0.68437,0.67812
22.68494,2.71474,-13.98709,-2.07836,0.18359,0.67188,0.67188
22.80009,2.65984,-14.08831,-2.05831,0.16493,0.67188,0.67188
22.91525,2.60686,-14.19055,-2.04042,0.14579,0.67502,0.68437
23.03040,2.55562,-14.29367,-2.02474,0.12665,0.67188,0.68932
23.14555,2.50588,-14.39753,-2.01129,0.10662,0.66563,0.68731
23.26070,2.45742,-14.50199,-2.00060,0.08972,0.66563,0.68437
23.37585,2.40991,-14.60688,-1.99575,0.00616,0.68437,0.67812
23.49101,2.36247,-14.71181,-2.00014,-0.08139,0.68909,0.67812
23.60616,2.31404,-14.81628,-2.01474,-0.17083,0.67812,0.68298
23.72131,2.26356,-14.91977,-2.04001,-0.26599,0.68437,0.67812
23.83646,2.20992,-15.02166,-2.07669,-0.36851,0.69063,0.67812
23.95161,2.15199,-15.12117,-2.12563,-0.47927,0.67188,0.67812
24.06677,2.08866,-15.21732,-2.18762,-0.59652,0.67301,0.70312
24.18192,2.01888,-15.30888,-2.26297,-0.71449,0.67184,0.72647
24.29707,1.94184,-15.39442,-2.35101,-0.82177,0.68090,0.75713
24.41222,1.85711,-15.47233,-2.44958,-0.90307,0.69838,0.79810
24.52737,1.76483,-15.54111,-2.55486,-0.94147,0.72253,0.85066
24.64253,1.66569,-15.59959,-2.66189,-0.93712,0.75199,0.92217
24.75768,1.56090,-15.64720,-2.76556,-0.86895,0.78594,0.99621
24.87283,1.45185,-15.68403,-2.86554,-0.84084,0.82250,1.05352
24.98798,1.33968,-15.70987,-2.97076,-0.94107,0.86091,1.02763
25.10313,1.22536,-15.72310,-3.09732,-1.19528,0.90089,1.00313
25.21828,1.11039,-15.72003,3.01222,-1.68191,0.93851,0.99364
25.33345,0.99862,-15.69360,2.74800,-2.78183,0.96068,0.88187
25.44858,0.90144,-15.63326,2.37452,-4.27861,0.97086,0.78469
25.56370,0.83757,-15.53834,2.01275,-2.57145,0.94061,0.72080
25.67886,0.80446,-15.42829,1.78215,-1.27709,0.89023,0.68775
25.79401,0.78947,-15.31418,1.65789,-0.72104,0.83501,0.66563
25.90917,0.78445,-15.19916,1.59201,-0.37235,0.78335,0.65312
26.02432,0.78459,-15.08401,1.56172,-0.12377,0.74106,0.65312
26.13947,0.78654,-14.96887,1.55456,0.04479,0.71321,0.65938
26.25462,0.78833,-14.85373,1.55683,0.02196,0.69063,0.65938
26.36978,0.78976,-14.73859,1.55977,0.02596,0.69063,0.65938
26.48493,0.79087,-14.62344,1.56250,0.02239,0.69063,0.65938
26.60008,0.79167,-14.50830,1.56497,0.02046,0.69063,0.65938
26.71523,0.79221,-14.39315,1.56716,0.01772,0.68437,0.66563
26.83038,0.79251,-14.27799,1.56903,0.01486,0.68437,0.66563
26.94554,0.79261,-14.16284,1.57056,0.01172,0.68437,0.66563
27.06069,0.79256,-14.04769,1.57172,0.00842,0.68437,0.66563
27.17584,0.79240,-13.93254,1.57248,0.00494,0.68437,0.66563
27.29099,0.79217,-13.81739,1.57285,0.00151,0.68437,0.66563
27.40614,0.79193,-13.70223,1.57282,-0.00244,0.68437,0.66563
27.52130,0.79171,-13.58708,1.57252,-0.00353,0.69063,0.65938
27.63645,0.79153,-13.47193,1.57216,-0.00298,0.69063,0.65938
27.75160,0.79140,-13.35678,1.57182,-0.00283,0.69063,0.65938
27.86675,0.79130,-13.24163,1.57151,-0.00257,0.69063,0.65938
27.98190,0.79123,-13.12647,1.57122,-0.00235,0.69063,0.65938
28.09706,0.79120,-13.01132,1.57097,-0.00212,0.69063,0.65938
28.21221,0.79119,-12.89617,1.57073,-0.00190,0.69063,0.65938
28.32736,0.79121,-12.78102,1.57053,-0.00168,0.69063,0.65938
28.44251,0.79125,-12.66587,1.57035,-0.00146,0.69063,0.65938
28.55766,0.79132,-12.55071,1.57019,-0.00125,0.69063,0.65938
