# x_m,y_m,w_tr_right_m,w_tr_left_m
1.8571,-15.4723,0.5634,0.6631
1.7648,-15.5411,0.5875,0.7157
1.6657,-15.5996,0.6170,0.7872
1.5609,-15.6472,0.6509,0.8612
1.4518,-15.6840,0.6875,0.9185
1.3397,-15.7099,0.7259,0.8926
1.2254,-15.7231,0.7659,0.8681
1.1104,-15.7200,0.8035,0.8586
0.9986,-15.6936,0.8257,0.7469
0.9014,-15.6333,0.8359,0.6497
0.8376,-15.5383,0.8056,0.5858
0.8045,-15.4283,0.7552,0.5527
0.7895,-15.3142,0.7000,0.5306
0.7845,-15.1992,0.6484,0.5181
0.7846,-15.0840,0.6061,0.5181
0.7865,-14.9689,0.5782,0.5244
0.7883,-14.8537,0.5556,0.5244
0.7898,-14.7386,0.5556,0.5244
0.7909,-14.6234,0.5556,0.5244
0.7917,-14.5083,0.5556,0.5244
0.7922,-14.3931,0.5494,0.5306
0.7925,-14.2780,0.5494,0.5306
0.7926,-14.1628,0.5494,0.5306
0.7926,-14.0477,0.5494,0.5306
0.7924,-13.9325,0.5494,0.5306
0.7922,-13.8174,0.5494,0.5306
0.7919,-13.7022,0.5494,0.5306
0.7917,-13.5871,0.5556,0.5244
0.7915,-13.4719,0.5556,0.5244
0.7914,-13.3568,0.5556,0.5244
0.7913,-13.2416,0.5556,0.5244
0.7912,-13.1265,0.5556,0.5244
0.7912,-13.0113,0.5556,0.5244
0.7912,-12.8962,0.5556,0.5244
0.7912,-12.7810,0.5556,0.5244
0.7913,-12.6659,0.5556,0.5244
0.7913,-12.5507,0.5556,0.5244
0.7914,-12.4356,0.5556,0.5244
0.7915,-12.3204,0.5556,0.5244
0.7916,-12.2053,0.5556,0.5244
0.7917,-12.0901,0.5556,0.5244
0.7918,-11.9750,0.5494,0.5306
0.7919,-11.8598,0.5494,0.5306
0.7921,-11.7447,0.5494,0.5306
0.7922,-11.6295,0.5494,0.5306
0.7923,-11.5143,0.5494,0.5306
0.7924,-11.3992,0.5494,0.5306
0.7925,-11.2840,0.5494,0.5306
0.7925,-11.1689,0.5494,0.5306
0.7926,-11.0537,0.5494,0.5306
0.7926,-10.9386,0.5494,0.5306
0.7927,-10.8234,0.5494,0.5306
0.7927,-10.7083,0.5494,0.5306
0.7926,-10.5931,0.5494,0.5306
0.7926,-10.4780,0.5494,0.5306
0.7926,-10.3628,0.5494,0.5306
0.7925,-10.2477,0.5494,0.5306
0.7924,-10.1325,0.5494,0.5306
0.7924,-10.0174,0.5494,0.5306
0.7923,-9.9022,0.5494,0.5306
0.7922,-9.7871,0.5494,0.5306
0.7921,-9.6719,0.5494,0.5306
0.7919,-9.5568,0.5494,0.5306
0.7918,-9.4416,0.5494,0.5306
0.7917,-9.3265,0.5556,0.5244
0.7916,-9.2113,0.5556,0.5244
0.7915,-9.0962,0.5556,0.5244
0.7913,-8.9810,0.5556,0.5244
0.7912,-8.8659,0.5556,0.5244
0.7911,-8.7507,0.5556,0.5244
0.7910,-8.6355,0.5556,0.5244
0.7909,-8.5204,0.5556,0.5244
0.7908,-8.4052,0.5556,0.5244
0.7907,-8.2901,0.5556,0.5244
0.7906,-8.1749,0.5556,0.5244
0.7906,-8.0598,0.5556,0.5244
0.7905,-7.9446,0.5556,0.5244
0.7905,-7.8295,0.5556,0.5244
0.7905,-7.7143,0.5556,0.5244
0.7905,-7.5992,0.5556,0.5244
0.7905,-7.4840,0.5556,0.5244
0.7905,-7.3689,0.5556,0.5244
0.7906,-7.2537,0.5556,0.5244
0.7907,-7.1386,0.5556,0.5244
0.7908,-7.0234,0.5556,0.5244
0.7909,-6.9083,0.5556,0.5244
0.7911,-6.7931,0.5556,0.5244
0.7912,-6.6780,0.5556,0.5244
0.7915,-6.5628,0.5556,0.5244
0.7917,-6.4477,0.5556,0.5244
0.7920,-6.3325,0.5494,0.5306
0.7923,-6.2174,0.5494,0.5306
0.7926,-6.1022,0.5494,0.5306
0.7930,-5.9871,0.5494,0.5306
0.7934,-5.8719,0.5494,0.5306
0.7939,-5.7568,0.5494,0.5306
0.7943,-5.6416,0.5494,0.5306
0.7948,-5.5265,0.5494,0.5306
0.7953,-5.4113,0.5494,0.5306
0.7956,-5.2961,0.5494,0.5306
0.7958,-5.1810,0.5494,0.5306
0.7958,-5.0658,0.5494,0.5306
0.7956,-4.9507,0.5494,0.5306
0.7951,-4.8355,0.5494,0.5306
0.7943,-4.7204,0.5494,0.5306
0.7931,-4.6052,0.5494,0.5306
0.7915,-4.4901,0.5556,0.5244
0.7893,-4.3750,0.5556,0.5244
0.7840,-4.2600,0.5619,0.5244
0.7682,-4.1460,0.5887,0.5164
0.7332,-4.0365,0.5574,0.4814
0.6797,-3.9346,0.4751,0.4279
0.6190,-3.8367,0.4121,0.3673
0.5613,-3.7371,0.3645,0.3095
0.5154,-3.6316,0.3277,0.2637
0.4841,-3.5209,0.3024,0.2306
0.4675,-3.4070,0.2806,0.2056
0.4662,-3.2920,0.2930,0.2056
0.4814,-3.1779,0.3053,0.2244
0.5144,-3.0677,0.3289,0.2626
0.5630,-2.9634,0.3631,0.3112
0.6194,-2.8630,0.4121,0.3676
