#{"t_start": 1789494789.018607, "env_id": "None"}
r,l,t
63.647326,94,3281.499517
62.972765,110,3288.464573
68.350201,89,3294.502649
63.130273,116,3301.533766
62.495191,104,3307.936248
68.721159,82,3313.571111
63.269186,102,3320.036253
64.999965,97,3326.236076
62.191905,109,3333.232746
68.982436,78,3338.401325
62.962433,101,3344.825626
69.268568,78,3349.966997
68.014815,82,3355.218016
66.496702,79,3360.449951
66.135214,88,3366.052224
68.55259,79,3371.051216
69.238778,76,3375.935633
69.86499,68,3380.550224
64.42419,89,3386.067981
59.819721,107,3392.735519
66.34607,91,3398.568886
32.455026,65,3403.383645
64.083059,99,3409.687129
64.4303,95,3415.620703
63.51387,91,3421.337523
66.983178,80,3426.624116
61.132392,97,3432.738841
63.653307,89,3438.988097
68.649591,86,3444.303855
67.612605,79,3449.302541
64.952256,97,3455.5868
64.231874,95,3461.635809
60.052018,71,3466.574254
65.101202,96,3472.706106
63.826542,84,3478.056925
68.291372,89,3483.869955
67.048738,94,3489.80401
60.443484,119,3497.306449
63.055078,84,3502.922834
66.643853,78,3507.970696
67.22514,86,3513.313479
68.752326,83,3518.865515
66.142143,92,3524.840762
67.250299,87,3530.34234
65.719949,100,3536.438266
34.667287,73,3541.143422
62.630154,95,3547.090335
65.823974,86,3552.504674
63.409029,84,3557.77536
67.498519,88,3563.478459
67.894116,85,3568.672153
63.05987,98,3574.813829
64.526249,111,3581.5723
65.994944,133,3589.646371
62.469914,111,3596.544464
63.319086,103,3603.408459
66.138928,100,3609.643969
64.0764,121,3617.090986
68.39329,88,3622.540945
66.521113,91,3628.24272
62.642859,110,3634.891768
69.093181,89,3640.293006
61.982717,105,3646.725363
66.512363,78,3651.766033
65.025516,86,3657.212103
63.702207,103,3663.811506
-6.242596,26,3665.944672
64.018401,94,3671.675839
66.819798,74,3676.742818
20.54166,42,3680.127026
67.709623,89,3685.811336
62.349686,100,3692.597872
62.535819,106,3699.195988
66.484999,98,3705.329477
60.316358,120,3712.679775
61.070218,109,3719.233254
31.990991,65,3723.654843
65.294127,94,3729.476797
65.77091,89,3734.909353
61.730275,127,3742.343317
63.111861,98,3748.727505
69.087489,77,3753.939373
65.612704,93,3759.534891
64.238839,111,3766.284303
64.081337,100,3772.396796
65.117371,88,3778.962696
32.752435,67,3783.771155
63.116709,103,3790.178296
